;Unnamed: 0;CustomerID;Gender;Married;Age;Graduated;Profession;WorkExperience;SpendingScore;FamilySize;Category;cluster;Age_Arrival;Age_Arrival_Text
28;28;465882;Male;No;35;Yes;Artist;0.0;Low;1.0;Category 6;2;35-39;Middle Aged
29;29;461996;Female;No;35;No;Artist;5.0;Low;4.0;Category 6;1;35-39;Middle Aged
30;30;463331;Female;Yes;45;Yes;Artist;0.0;Low;3.0;Category 6;3;45-49;Middle Aged
31;31;462216;Female;Yes;42;No;Doctor;1.0;Low;2.0;Category 4;3;40-44;Middle Aged
32;32;462454;Male;No;19;No;Healthcare;1.0;Low;3.0;Category 2;1;15-19;Youth or Young Adult
33;33;467010;Male;No;26;No;Homemaker;9.0;Low;2.0;Category 6;1;25-29;Young Adult
34;34;459861;Female;Yes;83;No;Lawyer;1.0;High;2.0;Category 6;3;80+;Old
35;35;467917;Female;No;27;Yes;Healthcare;3.0;Low;4.0;Category 1;2;25-29;Young Adult
36;36;465572;Male;No;32;No;Doctor;5.0;Low;1.0;Category 4;1;30-34;Young Adult or Middle Aged
37;37;460593;Female;Yes;28;No;Healthcare;1.0;Average;5.0;Category 3;3;25-29;Young Adult
38;38;465891;Female;Yes;28;Yes;Artist;8.0;Low;2.0;Category 6;3;25-29;Young Adult
39;39;467442;Male;Yes;56;Yes;Artist;1.0;Average;2.0;Category 6;3;55-59;Middle Aged
40;40;462044;Female;No;47;Yes;Artist;4.0;Low;1.0;Category 6;2;45-49;Middle Aged
41;41;465686;Female;No;22;No;Healthcare;0.0;Low;2.0;Category 6;1;20-24;Young Adult
42;42;464590;Female;No;27;Yes;Artist;14.0;Low;3.0;Category 6;2;25-29;Young Adult
43;43;466006;Female;Yes;49;Yes;Artist;1.0;Low;2.0;Category 6;3;45-49;Middle Aged
44;44;466152;Male;Yes;40;No;Engineer;8.0;Low;1.0;Category 6;3;40-44;Middle Aged
45;45;463156;Female;Yes;79;No;Lawyer;1.0;High;2.0;Category 6;3;75-79;Old
46;46;465729;Male;Yes;41;Yes;Artist;0.0;Average;4.0;Category 4;3;40-44;Middle Aged
47;47;462384;Female;No;29;Yes;Healthcare;1.0;Low;1.0;Category 7;2;25-29;Young Adult
48;48;462442;Male;No;19;No;Healthcare;0.0;Low;4.0;Category 6;1;15-19;Youth or Young Adult
49;49;464191;Female;No;45;Yes;Engineer;1.0;Low;1.0;Category 6;2;45-49;Middle Aged
50;50;462078;Female;Yes;61;No;Artist;1.0;Average;2.0;Category 2;3;60-64;Old
51;51;467873;Female;Yes;36;Yes;Artist;1.0;Average;2.0;Category 6;3;35-39;Middle Aged
52;52;461270;Male;Yes;40;Yes;Artist;1.0;Low;1.0;Category 3;3;40-44;Middle Aged
53;53;462960;Female;Yes;57;Yes;Entertainment;0.0;Average;2.0;Category 6;3;55-59;Middle Aged
54;54;464961;Male;Yes;76;No;Marketing;1.0;Low;1.0;Category 4;3;75-79;Old
55;55;462110;Male;Yes;32;Yes;Artist;14.0;Average;2.0;Category 6;3;30-34;Young Adult or Middle Aged
56;56;465769;Male;No;25;Yes;Healthcare;9.0;Low;4.0;Category 6;2;25-29;Young Adult
57;57;462267;Male;No;32;Yes;Doctor;8.0;Low;2.0;Category 6;2;30-34;Young Adult or Middle Aged
58;58;465269;Female;Yes;45;Yes;Artist;1.0;Average;3.0;Category 3;3;45-49;Middle Aged
59;59;460881;Male;Yes;72;Yes;Lawyer;1.0;Low;2.0;Category 4;3;70-74;Old
60;60;461891;Male;Yes;48;Yes;Artist;0.0;Average;2.0;Category 6;3;45-49;Middle Aged
61;61;466935;Male;Yes;55;Yes;Artist;9.0;Average;2.0;Category 1;3;55-59;Middle Aged
62;62;464091;Male;Yes;74;Yes;Lawyer;0.0;High;3.0;Category 6;3;70-74;Old
63;63;464535;Male;Yes;56;Yes;Lawyer;1.0;High;2.0;Category 6;3;55-59;Middle Aged
64;64;463108;Male;Yes;59;Yes;Lawyer;7.0;High;2.0;Category 6;3;55-59;Middle Aged
65;65;461356;Male;No;25;Yes;Entertainment;0.0;Low;2.0;Category 6;2;25-29;Young Adult
66;66;464570;Male;Yes;31;Yes;Doctor;0.0;Average;2.0;Category 6;3;30-34;Young Adult or Middle Aged
67;67;464580;Male;No;27;No;Artist;8.0;Low;4.0;Category 6;1;25-29;Young Adult
68;68;465233;Male;Yes;57;Yes;Artist;0.0;Average;4.0;Category 6;3;55-59;Middle Aged
69;69;467208;Female;Yes;39;Yes;Homemaker;1.0;High;2.0;Category 6;3;35-39;Middle Aged
70;70;459954;Male;Yes;27;Yes;Healthcare;8.0;Low;2.0;Category 6;3;25-29;Young Adult
71;71;460219;Female;Yes;51;Yes;Entertainment;8.0;Average;2.0;Category 6;3;50-54;Middle Aged
72;72;460877;Female;Yes;47;No;Artist;0.0;Average;5.0;Category 6;3;45-49;Middle Aged
73;73;460191;Female;No;33;No;Healthcare;8.0;Low;4.0;Category 6;1;30-34;Young Adult or Middle Aged
74;74;463742;Male;Yes;56;Yes;Artist;0.0;Average;4.0;Category 6;3;55-59;Middle Aged
75;75;463691;Female;No;33;No;Homemaker;0.0;Low;3.0;Category 6;1;30-34;Young Adult or Middle Aged
76;76;463250;Female;No;36;Yes;Doctor;0.0;Low;2.0;Category 6;2;35-39;Middle Aged
77;77;463952;Male;Yes;51;No;Artist;4.0;Low;3.0;Category 4;3;50-54;Middle Aged
78;78;461558;Male;Yes;45;Yes;Engineer;2.0;Average;2.0;Category 6;3;45-49;Middle Aged
79;79;466567;Female;No;49;Yes;Artist;1.0;Low;1.0;Category 6;2;45-49;Middle Aged
80;80;465379;Male;No;30;No;Healthcare;0.0;Low;4.0;Category 6;1;30-34;Young Adult or Middle Aged
81;81;463814;Female;No;26;No;Healthcare;6.0;Low;3.0;Category 5;1;25-29;Young Adult
82;82;466938;Male;Yes;63;Yes;Artist;8.0;Low;1.0;Category 6;3;60-64;Old
83;83;460671;Male;Yes;35;No;Entertainment;8.0;Average;4.0;Category 3;3;35-39;Middle Aged
84;84;462204;Female;No;19;No;Marketing;1.0;Low;3.0;Category 4;1;15-19;Youth or Young Adult
85;85;461671;Male;No;32;No;Healthcare;7.0;Low;5.0;Category 6;1;30-34;Young Adult or Middle Aged
86;86;459384;Male;Yes;52;Yes;Artist;0.0;Average;3.0;Category 6;3;50-54;Middle Aged
87;87;459905;Female;Yes;36;Yes;Artist;5.0;Low;2.0;Category 6;3;35-39;Middle Aged
88;88;464734;Female;No;42;No;Entertainment;7.0;Low;3.0;Category 4;1;40-44;Middle Aged
89;89;464125;Male;Yes;40;No;Doctor;0.0;Average;2.0;Category 3;3;40-44;Middle Aged
90;90;467434;Male;No;39;Yes;Entertainment;0.0;Low;3.0;Category 1;2;35-39;Middle Aged
91;91;460956;Female;Yes;47;Yes;Artist;1.0;Average;4.0;Category 3;3;45-49;Middle Aged
92;92;465179;Female;Yes;61;Yes;Artist;1.0;High;2.0;Category 6;3;60-64;Old
93;93;463338;Male;Yes;32;No;Entertainment;1.0;Low;2.0;Category 3;3;30-34;Young Adult or Middle Aged
94;94;467066;Male;Yes;55;No;Artist;0.0;Low;1.0;Category 6;3;55-59;Middle Aged
95;95;463845;Male;Yes;58;Yes;Artist;1.0;Average;1.0;Category 6;3;55-59;Middle Aged
96;96;459976;Female;No;38;Yes;Artist;0.0;Low;1.0;Category 6;2;35-39;Middle Aged
97;97;461334;Male;Yes;63;Yes;Artist;0.0;High;2.0;Category 6;3;60-64;Old
98;98;465108;Male;Yes;58;Yes;Doctor;1.0;Average;2.0;Category 6;3;55-59;Middle Aged
99;99;462600;Male;Yes;30;No;Engineer;3.0;Average;3.0;Category 4;3;30-34;Young Adult or Middle Aged
100;100;464144;Male;Yes;60;Yes;Artist;0.0;Average;4.0;Category 6;3;60-64;Old
101;101;466911;Male;Yes;68;No;Executive;1.0;High;7.0;Category 6;3;65-69;Old
102;102;462806;Male;Yes;52;No;Artist;0.0;Low;3.0;Category 4;3;50-54;Middle Aged
103;103;463426;Male;Yes;38;No;Executive;0.0;High;5.0;Category 6;3;35-39;Middle Aged
104;104;464065;Female;Yes;35;Yes;Healthcare;10.0;Low;2.0;Category 6;3;35-39;Middle Aged
105;105;462979;Male;No;18;No;Doctor;1.0;Low;2.0;Category 6;1;15-19;Youth or Young Adult
106;106;462834;Male;Yes;30;Yes;Homemaker;3.0;Low;2.0;Category 1;3;30-34;Young Adult or Middle Aged
107;107;460764;Male;No;86;No;Lawyer;1.0;Low;1.0;Category 6;1;80+;Old
108;108;466466;Female;No;19;No;Healthcare;6.0;Low;5.0;Category 3;1;15-19;Youth or Young Adult
109;109;460185;Male;No;25;No;Healthcare;9.0;Low;3.0;Category 6;1;25-29;Young Adult
110;110;459749;Male;Yes;59;Yes;Entertainment;1.0;Low;4.0;Category 4;3;55-59;Middle Aged
111;111;464406;Female;No;39;Yes;Artist;0.0;Low;1.0;Category 6;2;35-39;Middle Aged
112;112;467758;Female;Yes;50;Yes;Doctor;1.0;Low;2.0;Category 6;3;50-54;Middle Aged
113;113;462059;Male;No;47;Yes;Artist;1.0;Low;1.0;Category 6;2;45-49;Middle Aged
114;114;467905;Male;Yes;43;Yes;Executive;0.0;High;3.0;Category 6;3;40-44;Middle Aged
115;115;461177;Male;Yes;36;No;Executive;8.0;Average;4.0;Category 1;3;35-39;Middle Aged
116;116;460765;Male;Yes;80;No;Lawyer;1.0;Low;1.0;Category 6;3;80+;Old
117;117;465386;Male;No;36;Yes;Artist;0.0;Low;2.0;Category 2;2;35-39;Middle Aged
118;118;465827;Male;No;27;No;Artist;2.0;Low;7.0;Category 4;1;25-29;Young Adult
119;119;462332;Female;Yes;37;Yes;Artist;1.0;High;2.0;Category 7;3;35-39;Middle Aged
120;120;464481;Male;Yes;46;Yes;Executive;0.0;High;3.0;Category 6;3;45-49;Middle Aged
121;121;461011;Male;Yes;55;No;Executive;1.0;High;4.0;Category 3;3;55-59;Middle Aged
122;122;464749;Female;Yes;47;No;Engineer;9.0;Average;4.0;Category 4;3;45-49;Middle Aged
123;123;461094;Female;No;28;Yes;Healthcare;1.0;Low;3.0;Category 3;2;25-29;Young Adult
124;124;462104;Male;Yes;39;No;Entertainment;9.0;Low;2.0;Category 3;3;35-39;Middle Aged
125;125;464524;Female;Yes;27;No;Marketing;1.0;Low;2.0;Category 6;3;25-29;Young Adult
126;126;466295;Female;Yes;42;No;Engineer;0.0;Low;2.0;Category 6;3;40-44;Middle Aged
127;127;461787;Male;Yes;72;Yes;Artist;0.0;Average;2.0;Category 6;3;70-74;Old
128;128;467857;Female;Yes;28;Yes;Engineer;0.0;Low;2.0;Category 6;3;25-29;Young Adult
129;129;460153;Male;No;35;Yes;Entertainment;8.0;Low;5.0;Category 6;2;35-39;Middle Aged
130;130;465215;Male;Yes;39;Yes;Executive;9.0;High;5.0;Category 2;3;35-39;Middle Aged
131;131;466746;Female;Yes;69;Yes;Lawyer;0.0;High;2.0;Category 6;3;65-69;Old
132;132;464857;Male;No;18;No;Healthcare;6.0;Low;4.0;Category 4;1;15-19;Youth or Young Adult
133;133;459478;Male;Yes;46;Yes;Artist;1.0;Low;1.0;Category 6;3;45-49;Middle Aged
134;134;460723;Female;Yes;50;Yes;Engineer;1.0;High;2.0;Category 4;3;50-54;Middle Aged
135;135;459853;Male;No;30;No;Executive;5.0;Low;5.0;Category 6;1;30-34;Young Adult or Middle Aged
136;136;459390;Female;No;41;No;Artist;1.0;Low;2.0;Category 6;1;40-44;Middle Aged
137;137;460410;Female;No;39;Yes;Artist;3.0;Low;4.0;Category 6;2;35-39;Middle Aged
138;138;463823;Female;No;29;No;Marketing;8.0;Low;4.0;Category 6;1;25-29;Young Adult
139;139;462008;Female;Yes;37;Yes;Artist;4.0;Low;4.0;Category 5;3;35-39;Middle Aged
140;140;459750;Female;Yes;39;Yes;Engineer;0.0;Average;2.0;Category 6;3;35-39;Middle Aged
141;141;459880;Female;Yes;48;Yes;Artist;0.0;Average;5.0;Category 7;3;45-49;Middle Aged
142;142;459261;Female;No;32;Yes;Doctor;0.0;Low;3.0;Category 6;2;30-34;Young Adult or Middle Aged
143;143;465656;Male;Yes;78;No;Lawyer;1.0;Low;2.0;Category 6;3;75-79;Old
144;144;465395;Female;Yes;43;No;Engineer;0.0;Average;5.0;Category 4;3;40-44;Middle Aged
145;145;461631;Male;No;29;No;Marketing;8.0;Low;5.0;Category 6;1;25-29;Young Adult
146;146;464904;Female;Yes;28;No;Engineer;9.0;Average;2.0;Category 4;3;25-29;Young Adult
147;147;461740;Male;Yes;80;Yes;Lawyer;1.0;Low;1.0;Category 6;3;80+;Old
148;148;467092;Female;No;28;Yes;Healthcare;7.0;Low;4.0;Category 6;2;25-29;Young Adult
149;149;464173;Male;Yes;71;Yes;Artist;6.0;Average;3.0;Category 6;3;70-74;Old
150;150;464972;Male;Yes;67;No;Lawyer;0.0;High;9.0;Category 4;3;65-69;Old
151;151;467959;Female;No;26;No;Engineer;0.0;Low;1.0;Category 2;1;25-29;Young Adult
152;152;467688;Female;Yes;47;Yes;Engineer;0.0;Average;2.0;Category 6;3;45-49;Middle Aged
153;153;460043;Female;Yes;43;Yes;Artist;2.0;Average;2.0;Category 6;3;40-44;Middle Aged
154;154;466590;Female;No;27;Yes;Healthcare;0.0;Low;4.0;Category 6;2;25-29;Young Adult
155;155;461191;Female;Yes;45;Yes;Marketing;8.0;Low;4.0;Category 6;3;45-49;Middle Aged
156;156;465662;Male;Yes;76;No;Executive;1.0;Low;1.0;Category 6;3;75-79;Old
157;157;459231;Female;Yes;43;Yes;Artist;3.0;Average;4.0;Category 6;3;40-44;Middle Aged
158;158;466495;Female;Yes;78;Yes;Lawyer;1.0;High;2.0;Category 6;3;75-79;Old
159;159;459192;Male;Yes;35;Yes;Artist;3.0;Average;3.0;Category 6;3;35-39;Middle Aged
160;160;465710;Female;No;49;Yes;Artist;1.0;Low;1.0;Category 6;2;45-49;Middle Aged
161;161;460258;Female;No;25;Yes;Healthcare;1.0;Low;5.0;Category 6;2;25-29;Young Adult
162;162;462813;Male;Yes;37;No;Executive;0.0;Average;5.0;Category 6;3;35-39;Middle Aged
163;163;463595;Female;No;32;No;Healthcare;1.0;Low;5.0;Category 6;1;30-34;Young Adult or Middle Aged
164;164;467768;Male;Yes;60;Yes;Doctor;0.0;Average;2.0;Category 6;3;60-64;Old
165;165;465291;Female;Yes;45;Yes;Artist;5.0;Average;3.0;Category 6;3;45-49;Middle Aged
166;166;462996;Female;Yes;49;Yes;Homemaker;9.0;Average;3.0;Category 6;3;45-49;Middle Aged
167;167;463497;Male;No;32;Yes;Artist;0.0;Low;5.0;Category 6;2;30-34;Young Adult or Middle Aged
168;168;465301;Female;Yes;40;Yes;Artist;0.0;Low;3.0;Category 3;3;40-44;Middle Aged
169;169;464702;Male;Yes;59;No;Artist;2.0;Average;2.0;Category 4;3;55-59;Middle Aged
170;170;459012;Male;Yes;48;Yes;Artist;3.0;Low;5.0;Category 6;3;45-49;Middle Aged
171;171;465053;Male;Yes;82;Yes;Executive;0.0;High;2.0;Category 6;3;80+;Old
172;172;459420;Female;Yes;70;Yes;Lawyer;0.0;Low;2.0;Category 6;3;70-74;Old
173;173;464166;Male;No;31;Yes;Artist;5.0;Low;2.0;Category 6;2;30-34;Young Adult or Middle Aged
174;174;458987;Female;Yes;72;Yes;Lawyer;0.0;High;2.0;Category 6;3;70-74;Old
175;175;467745;Male;Yes;50;Yes;Artist;3.0;Average;4.0;Category 6;3;50-54;Middle Aged
176;176;464866;Female;No;23;No;Engineer;11.0;Low;1.0;Category 3;1;20-24;Young Adult
177;177;461081;Female;No;20;No;Healthcare;2.0;Low;6.0;Category 6;1;20-24;Young Adult
178;178;467896;Female;No;22;No;Healthcare;4.0;Low;3.0;Category 6;1;20-24;Young Adult
179;179;463991;Female;No;31;Yes;Engineer;8.0;Low;1.0;Category 6;2;30-34;Young Adult or Middle Aged
180;180;466620;Female;Yes;36;Yes;Artist;7.0;Average;2.0;Category 6;3;35-39;Middle Aged
181;181;462594;Male;Yes;52;No;Entertainment;1.0;Average;5.0;Category 4;3;50-54;Middle Aged
182;182;462206;Female;No;29;Yes;Artist;1.0;Low;1.0;Category 4;2;25-29;Young Adult
183;183;460697;Male;Yes;40;Yes;Artist;4.0;Average;4.0;Category 6;3;40-44;Middle Aged
184;184;467934;Female;No;40;Yes;Artist;1.0;Low;1.0;Category 6;2;40-44;Middle Aged
185;185;460054;Male;Yes;38;Yes;Artist;1.0;Low;2.0;Category 6;3;35-39;Middle Aged
186;186;459576;Female;Yes;85;No;Lawyer;1.0;Low;2.0;Category 6;3;80+;Old
187;187;467910;Female;No;21;No;Doctor;1.0;Low;3.0;Category 7;1;20-24;Young Adult
188;188;467335;Female;Yes;41;No;Engineer;4.0;Average;2.0;Category 6;3;40-44;Middle Aged
189;189;460263;Male;Yes;40;Yes;Artist;0.0;Low;2.0;Category 6;3;40-44;Middle Aged
190;190;459340;Male;Yes;53;Yes;Artist;1.0;Average;3.0;Category 6;3;50-54;Middle Aged
191;191;465622;Female;Yes;42;Yes;Artist;5.0;Low;2.0;Category 6;3;40-44;Middle Aged
192;192;459395;Male;Yes;42;No;Executive;8.0;Low;2.0;Category 6;3;40-44;Middle Aged
193;193;467539;Male;Yes;48;Yes;Artist;1.0;Average;4.0;Category 7;3;45-49;Middle Aged
194;194;466574;Male;Yes;59;Yes;Artist;7.0;Low;2.0;Category 6;3;55-59;Middle Aged
195;195;466544;Male;Yes;41;Yes;Executive;1.0;Average;3.0;Category 6;3;40-44;Middle Aged
196;196;463610;Female;Yes;31;Yes;Artist;0.0;Average;2.0;Category 6;3;30-34;Young Adult or Middle Aged
197;197;465539;Female;Yes;49;Yes;Artist;1.0;High;5.0;Category 6;3;45-49;Middle Aged
198;198;459823;Male;Yes;67;Yes;Executive;1.0;Low;2.0;Category 6;3;65-69;Old
199;199;467614;Male;Yes;35;No;Artist;4.0;Average;2.0;Category 6;3;35-39;Middle Aged
200;200;459073;Female;No;26;Yes;Healthcare;0.0;Low;3.0;Category 6;2;25-29;Young Adult
201;201;466065;Male;No;19;No;Healthcare;9.0;Low;3.0;Category 3;1;15-19;Youth or Young Adult
202;202;464863;Female;Yes;25;No;Engineer;6.0;Average;8.0;Category 4;3;25-29;Young Adult
203;203;460022;Female;Yes;39;Yes;Healthcare;4.0;Low;2.0;Category 6;3;35-39;Middle Aged
204;204;459929;Male;Yes;63;Yes;Entertainment;0.0;Low;2.0;Category 6;3;60-64;Old
205;205;466613;Male;No;23;No;Healthcare;8.0;Low;3.0;Category 6;1;20-24;Young Adult
206;206;461149;Female;No;23;No;Healthcare;0.0;Low;3.0;Category 3;1;20-24;Young Adult
207;207;466068;Female;Yes;53;Yes;Artist;2.0;Low;1.0;Category 6;3;50-54;Middle Aged
208;208;461513;Male;No;33;Yes;Doctor;0.0;Low;2.0;Category 6;2;30-34;Young Adult or Middle Aged
209;209;464761;Female;Yes;50;No;Engineer;1.0;Average;4.0;Category 2;3;50-54;Middle Aged
210;210;466236;Female;Yes;69;Yes;Engineer;0.0;Low;2.0;Category 4;3;65-69;Old
211;211;459664;Male;No;37;Yes;Artist;2.0;Low;1.0;Category 6;2;35-39;Middle Aged
212;212;461967;Female;No;20;No;Marketing;3.0;Low;4.0;Category 7;1;20-24;Young Adult
213;213;460516;Female;Yes;85;No;Lawyer;0.0;High;1.0;Category 3;3;80+;Old
214;214;461710;Female;Yes;49;Yes;Doctor;1.0;Average;4.0;Category 6;3;45-49;Middle Aged
215;215;462742;Male;No;18;No;Healthcare;0.0;Low;3.0;Category 3;1;15-19;Youth or Young Adult
216;216;459528;Female;Yes;52;Yes;Doctor;0.0;Average;2.0;Category 6;3;50-54;Middle Aged
217;217;462691;Male;Yes;25;No;Doctor;1.0;Average;2.0;Category 4;3;25-29;Young Adult
218;218;462934;Male;Yes;56;No;Executive;1.0;High;2.0;Category 6;3;55-59;Middle Aged
219;219;465837;Male;No;62;Yes;Artist;0.0;Low;1.0;Category 6;2;60-64;Old
220;220;464613;Female;No;35;Yes;Artist;0.0;Low;3.0;Category 6;2;35-39;Middle Aged
221;221;467515;Male;Yes;28;Yes;Engineer;0.0;Average;2.0;Category 6;3;25-29;Young Adult
222;222;463429;Female;No;28;Yes;Artist;7.0;Low;3.0;Category 6;2;25-29;Young Adult
223;223;464024;Male;No;20;No;Healthcare;0.0;Low;5.0;Category 7;1;20-24;Young Adult
224;224;460691;Female;No;27;No;Homemaker;8.0;Low;1.0;Category 3;1;25-29;Young Adult
225;225;461825;Female;No;56;No;Engineer;1.0;Low;1.0;Category 6;1;55-59;Middle Aged
226;226;467271;Male;Yes;45;Yes;Artist;4.0;Average;4.0;Category 6;3;45-49;Middle Aged
227;227;465634;Male;No;25;Yes;Healthcare;1.0;Low;4.0;Category 4;2;25-29;Young Adult
228;228;464801;Male;No;40;No;Marketing;1.0;Low;1.0;Category 4;1;40-44;Middle Aged
229;229;459429;Female;Yes;25;Yes;Healthcare;1.0;Low;2.0;Category 6;3;25-29;Young Adult
230;230;459888;Female;Yes;74;No;Lawyer;1.0;High;2.0;Category 6;3;70-74;Old
231;231;463467;Female;No;23;No;Healthcare;0.0;Low;4.0;Category 6;1;20-24;Young Adult
232;232;462036;Female;Yes;67;Yes;Lawyer;0.0;High;2.0;Category 6;3;65-69;Old
233;233;461282;Male;No;21;No;Healthcare;0.0;Low;4.0;Category 6;1;20-24;Young Adult
234;234;460448;Female;No;38;Yes;Artist;9.0;Low;1.0;Category 3;2;35-39;Middle Aged
235;235;464464;Male;No;28;No;Healthcare;0.0;Low;4.0;Category 2;1;25-29;Young Adult
236;236;462410;Female;No;32;No;Healthcare;1.0;Low;5.0;Category 7;1;30-34;Young Adult or Middle Aged
237;237;467252;Female;No;33;Yes;Artist;0.0;Low;4.0;Category 6;2;30-34;Young Adult or Middle Aged
238;238;459756;Female;Yes;56;No;Lawyer;1.0;High;4.0;Category 4;3;55-59;Middle Aged
239;239;463789;Female;Yes;53;Yes;Artist;1.0;Low;2.0;Category 6;3;50-54;Middle Aged
240;240;466947;Male;Yes;57;No;Executive;1.0;High;5.0;Category 6;3;55-59;Middle Aged
241;241;464150;Female;Yes;59;Yes;Artist;0.0;Average;3.0;Category 6;3;55-59;Middle Aged
242;242;465693;Female;Yes;25;Yes;Healthcare;1.0;High;4.0;Category 4;3;25-29;Young Adult
243;243;461670;Male;Yes;59;Yes;Artist;0.0;Average;6.0;Category 6;3;55-59;Middle Aged
244;244;466768;Female;Yes;36;Yes;Artist;0.0;Low;4.0;Category 6;3;35-39;Middle Aged
245;245;461550;Male;Yes;37;Yes;Entertainment;7.0;Low;2.0;Category 6;3;35-39;Middle Aged
246;246;462438;Male;No;22;No;Doctor;1.0;Low;3.0;Category 2;1;20-24;Young Adult
247;247;460704;Male;Yes;43;Yes;Artist;1.0;Low;2.0;Category 6;3;40-44;Middle Aged
248;248;464884;Male;Yes;41;Yes;Artist;1.0;Low;2.0;Category 4;3;40-44;Middle Aged
249;249;467050;Female;No;21;No;Engineer;0.0;Low;5.0;Category 2;1;20-24;Young Adult
250;250;460738;Female;No;49;No;Engineer;1.0;Low;2.0;Category 7;1;45-49;Middle Aged
251;251;466176;Male;No;38;Yes;Doctor;8.0;Low;1.0;Category 2;2;35-39;Middle Aged
252;252;459488;Male;Yes;47;No;Artist;1.0;Average;4.0;Category 6;3;45-49;Middle Aged
253;253;467773;Male;Yes;70;Yes;Lawyer;1.0;High;3.0;Category 6;3;70-74;Old
254;254;465425;Female;No;31;No;Engineer;1.0;Low;4.0;Category 6;1;30-34;Young Adult or Middle Aged
255;255;462318;Female;Yes;82;No;Lawyer;0.0;Average;2.0;Category 6;3;80+;Old
256;256;466078;Female;Yes;51;No;Executive;1.0;Low;1.0;Category 6;3;50-54;Middle Aged
257;257;460792;Female;No;42;No;Homemaker;11.0;Low;2.0;Category 6;1;40-44;Middle Aged
258;258;460197;Male;No;38;Yes;Artist;8.0;Low;3.0;Category 2;2;35-39;Middle Aged
259;259;459375;Male;Yes;18;No;Executive;0.0;High;4.0;Category 6;3;15-19;Youth or Young Adult
260;260;463862;Male;Yes;50;Yes;Artist;6.0;Average;3.0;Category 6;3;50-54;Middle Aged
261;261;460144;Female;No;46;Yes;Doctor;1.0;Low;2.0;Category 3;2;45-49;Middle Aged
262;262;462721;Female;Yes;72;No;Lawyer;1.0;High;3.0;Category 6;3;70-74;Old
263;263;459637;Female;No;33;No;Engineer;1.0;Low;4.0;Category 6;1;30-34;Young Adult or Middle Aged
264;264;465809;Female;No;25;No;Homemaker;1.0;Low;7.0;Category 4;1;25-29;Young Adult
